equipment_id,project_id,name,status_id,status,description,type_id,type,discipline_id,discipline,space_id,space,floor_id,floor,building_id,building,campus_id,campus,notes,date_created,systems,areas_served
11138144,47945,ATS-CNG,291788,Installed,,,,560202,Div. 26 - Electrical,2893234,CNG Fueling,,,,,,,,01/21/2026,,
11949824,47945,BP-1,291787,Designed,With VFD,793075,Domestic Booster Pump,560199,Div. 22 - Plumbing,2984424,GB-116 - JAN RM,,,,,,,,03/27/2026,"[{'system_id': '550894', 'project_id': '47945', 'name': 'Domestic Hot Water', 'description': None, 'building_id': None, 'building': None, 'discipline_id': None, 'discipline': None, 'date_created': '11/14/2025'}]",
11949825,47945,BS-1-1,291787,Designed,"FCs 1-1, 1-2, 1-3, 1-4, 1-5",793076,VRF Branch Selector,560205,Div. 23 - Mechanical,2984432,A126 - CORRIDOR (EXIT),,,,,,,,03/27/2026,"[{'system_id': '550893', 'project_id': '47945', 'name': 'HVAC', 'description': None, 'building_id': None, 'building': None, 'discipline_id': None, 'discipline': None, 'date_created': '11/14/2025'}]",
11949826,47945,BS-1-2,291787,Designed,"FCs 1-6, 1-7, 1-8, 1-9",793076,VRF Branch Selector,560205,Div. 23 - Mechanical,2984433,A116 - UNIFORM STORAGE,,,,,,,,03/27/2026,"[{'system_id': '550893', 'project_id': '47945', 'name': 'HVAC', 'description': None, 'building_id': None, 'building': None, 'discipline_id': None, 'discipline': None, 'date_created': '11/14/2025'}]",
11949846,47945,CP-1,291787,Designed,Continuous operation,793081,Hot Water Circulation Pump,560199,Div. 22 - Plumbing,2984447,A121 - JANITOR,,,,,,,,03/27/2026,"[{'system_id': '550894', 'project_id': '47945', 'name': 'Domestic Hot Water', 'description': None, 'building_id': None, 'building': None, 'discipline_id': None, 'discipline': None, 'date_created': '11/14/2025'}]","[{'area_served_name': 'CNG Fueling', 'area_served_type': 'space', 'area_served_id': '2893234'}]"
11949783,47945,CU-2-100,291787,Designed,,793071,Condensing Unit,560205,Div. 23 - Mechanical,2984398,GB-100 - IDF,,,,,,,,03/27/2026,"[{'system_id': '550893', 'project_id': '47945', 'name': 'HVAC', 'description': None, 'building_id': None, 'building': None, 'discipline_id': None, 'discipline': None, 'date_created': '11/14/2025'}]","[{'area_served_name': 'CNG Fueling', 'area_served_type': 'space', 'area_served_id': '2893234'}]"
11949779,47945,CU-2-104,291787,Designed,,793071,Condensing Unit,560205,Div. 23 - Mechanical,2984394,GB-104 - IDF,,,,,,,,03/27/2026,"[{'system_id': '550893', 'project_id': '47945', 'name': 'HVAC', 'description': None, 'building_id': None, 'building': None, 'discipline_id': None, 'discipline': None, 'date_created': '11/14/2025'}]","[{'area_served_name': 'CNG Fueling', 'area_served_type': 'space', 'area_served_id': '2893234'}]"
11949780,47945,CU-2-108,291787,Designed,,793071,Condensing Unit,560205,Div. 23 - Mechanical,2984395,GB-108 - EMERGENCY ELEC ROOM,,,,,,,,03/27/2026,"[{'system_id': '550893', 'project_id': '47945', 'name': 'HVAC', 'description': None, 'building_id': None, 'building': None, 'discipline_id': None, 'discipline': None, 'date_created': '11/14/2025'}]","[{'area_served_name': 'CNG Fueling', 'area_served_type': 'space', 'area_served_id': '2893234'}]"
11949782,47945,CU-2-113,291787,Designed,,793071,Condensing Unit,560205,Div. 23 - Mechanical,2984397,GB-113 - IDF,,,,,,,,03/27/2026,"[{'system_id': '550893', 'project_id': '47945', 'name': 'HVAC', 'description': None, 'building_id': None, 'building': None, 'discipline_id': None, 'discipline': None, 'date_created': '11/14/2025'}]","[{'area_served_name': 'CNG Fueling', 'area_served_type': 'space', 'area_served_id': '2893234'}]"
11949781,47945,CU-2-117,291787,Designed,,793071,Condensing Unit,560205,Div. 23 - Mechanical,2984396,GB-117 - IDF,,,,,,,,03/27/2026,"[{'system_id': '550893', 'project_id': '47945', 'name': 'HVAC', 'description': None, 'building_id': None, 'building': None, 'discipline_id': None, 'discipline': None, 'date_created': '11/14/2025'}]","[{'area_served_name': 'CNG Fueling', 'area_served_type': 'space', 'area_served_id': '2893234'}]"
11949784,47945,CU-2-300,291787,Designed,,793071,Condensing Unit,560205,Div. 23 - Mechanical,2984399,GB-300 - IDF,,,,,,,,03/27/2026,"[{'system_id': '550893', 'project_id': '47945', 'name': 'HVAC', 'description': None, 'building_id': None, 'building': None, 'discipline_id': None, 'discipline': None, 'date_created': '11/14/2025'}]","[{'area_served_name': 'CNG Fueling', 'area_served_type': 'space', 'area_served_id': '2893234'}]"
11949785,47945,CU-2-304,291787,Designed,,793071,Condensing Unit,560205,Div. 23 - Mechanical,2984400,GB-304 - IDF,,,,,,,,03/27/2026,"[{'system_id': '550893', 'project_id': '47945', 'name': 'HVAC', 'description': None, 'building_id': None, 'building': None, 'discipline_id': None, 'discipline': None, 'date_created': '11/14/2025'}]","[{'area_served_name': 'CNG Fueling', 'area_served_type': 'space', 'area_served_id': '2893234'}]"
11949786,47945,CU-2-310,291787,Designed,,793071,Condensing Unit,560205,Div. 23 - Mechanical,2984401,GB-310 - IDF,,,,,,,,03/27/2026,"[{'system_id': '550893', 'project_id': '47945', 'name': 'HVAC', 'description': None, 'building_id': None, 'building': None, 'discipline_id': None, 'discipline': None, 'date_created': '11/14/2025'}]","[{'area_served_name': 'CNG Fueling', 'area_served_type': 'space', 'area_served_id': '2893234'}]"
11949788,47945,CU-2-313,291787,Designed,,793071,Condensing Unit,560205,Div. 23 - Mechanical,2984403,GB-313 - IDF,,,,,,,,03/27/2026,"[{'system_id': '550893', 'project_id': '47945', 'name': 'HVAC', 'description': None, 'building_id': None, 'building': None, 'discipline_id': None, 'discipline': None, 'date_created': '11/14/2025'}]","[{'area_served_name': 'CNG Fueling', 'area_served_type': 'space', 'area_served_id': '2893234'}]"
11949787,47945,CU-2-317,291787,Designed,,793071,Condensing Unit,560205,Div. 23 - Mechanical,2984402,GB-317 - IDF,,,,,,,,03/27/2026,"[{'system_id': '550893', 'project_id': '47945', 'name': 'HVAC', 'description': None, 'building_id': None, 'building': None, 'discipline_id': None, 'discipline': None, 'date_created': '11/14/2025'}]","[{'area_served_name': 'CNG Fueling', 'area_served_type': 'space', 'area_served_id': '2893234'}]"
11949791,47945,CU-2-500,291787,Designed,,793071,Condensing Unit,560205,Div. 23 - Mechanical,2984406,GB-500 - IDF,,,,,,,,03/27/2026,"[{'system_id': '550893', 'project_id': '47945', 'name': 'HVAC', 'description': None, 'building_id': None, 'building': None, 'discipline_id': None, 'discipline': None, 'date_created': '11/14/2025'}]","[{'area_served_name': 'CNG Fueling', 'area_served_type': 'space', 'area_served_id': '2893234'}]"
11949792,47945,CU-2-504,291787,Designed,,793071,Condensing Unit,560205,Div. 23 - Mechanical,2984412,GB-504 - IDF,,,,,,,,03/27/2026,"[{'system_id': '550893', 'project_id': '47945', 'name': 'HVAC', 'description': None, 'building_id': None, 'building': None, 'discipline_id': None, 'discipline': None, 'date_created': '11/14/2025'}]","[{'area_served_name': 'CNG Fueling', 'area_served_type': 'space', 'area_served_id': '2893234'}]"
11949793,47945,CU-2-510,291787,Designed,,793071,Condensing Unit,560205,Div. 23 - Mechanical,2984408,GB-510 - IDF,,,,,,,,03/27/2026,"[{'system_id': '550893', 'project_id': '47945', 'name': 'HVAC', 'description': None, 'building_id': None, 'building': None, 'discipline_id': None, 'discipline': None, 'date_created': '11/14/2025'}]","[{'area_served_name': 'CNG Fueling', 'area_served_type': 'space', 'area_served_id': '2893234'}]"
11949789,47945,CU-2-513,291787,Designed,,793071,Condensing Unit,560205,Div. 23 - Mechanical,2984404,GB-513 - IDF,,,,,,,,03/27/2026,"[{'system_id': '550893', 'project_id': '47945', 'name': 'HVAC', 'description': None, 'building_id': None, 'building': None, 'discipline_id': None, 'discipline': None, 'date_created': '11/14/2025'}]","[{'area_served_name': 'CNG Fueling', 'area_served_type': 'space', 'area_served_id': '2893234'}]"
11949790,47945,CU-2-517,291787,Designed,,793071,Condensing Unit,560205,Div. 23 - Mechanical,2984405,GB-517 - IDF,,,,,,,,03/27/2026,"[{'system_id': '550893', 'project_id': '47945', 'name': 'HVAC', 'description': None, 'building_id': None, 'building': None, 'discipline_id': None, 'discipline': None, 'date_created': '11/14/2025'}]","[{'area_served_name': 'CNG Fueling', 'area_served_type': 'space', 'area_served_id': '2893234'}]"
11949795,47945,CU-3-106,291787,Designed,,793071,Condensing Unit,560205,Div. 23 - Mechanical,2984410,GB-106 - MAIN ELEC ROOM,,,,,,,,03/27/2026,"[{'system_id': '550893', 'project_id': '47945', 'name': 'HVAC', 'description': None, 'building_id': None, 'building': None, 'discipline_id': None, 'discipline': None, 'date_created': '11/14/2025'}]","[{'area_served_name': 'CNG Fueling', 'area_served_type': 'space', 'area_served_id': '2893234'}]"
11949796,47945,CU-3-107,291787,Designed,,793071,Condensing Unit,560205,Div. 23 - Mechanical,2984411,GB-107 - ECR,,,,,,,,03/27/2026,"[{'system_id': '550893', 'project_id': '47945', 'name': 'HVAC', 'description': None, 'building_id': None, 'building': None, 'discipline_id': None, 'discipline': None, 'date_created': '11/14/2025'}]","[{'area_served_name': 'CNG Fueling', 'area_served_type': 'space', 'area_served_id': '2893234'}]"
11949794,47945,CU-3-110,291787,Designed,,793071,Condensing Unit,560205,Div. 23 - Mechanical,2984409,GB-110 - MDF,,,,,,,,03/27/2026,"[{'system_id': '550893', 'project_id': '47945', 'name': 'HVAC', 'description': None, 'building_id': None, 'building': None, 'discipline_id': None, 'discipline': None, 'date_created': '11/14/2025'}]","[{'area_served_name': 'CNG Fueling', 'area_served_type': 'space', 'area_served_id': '2893234'}]"
11949827,47945,EF-1,291787,Designed,Centrifugal exhaust fan with EC motor and backdraft damper,722881,Exhaust Fan,560205,Div. 23 - Mechanical,2984434,ROOF,,,,,,,,03/27/2026,"[{'system_id': '550893', 'project_id': '47945', 'name': 'HVAC', 'description': None, 'building_id': None, 'building': None, 'discipline_id': None, 'discipline': None, 'date_created': '11/14/2025'}]","[{'area_served_name': 'CNG Fueling', 'area_served_type': 'space', 'area_served_id': '2893234'}]"
11949817,47945,EH-1,291787,Designed,Unit heater with fan,793073,Electric Heater,560205,Div. 23 - Mechanical,2984430,GB-115 - FIRE PUMP RM,,,,,,,,03/27/2026,"[{'system_id': '550893', 'project_id': '47945', 'name': 'HVAC', 'description': None, 'building_id': None, 'building': None, 'discipline_id': None, 'discipline': None, 'date_created': '11/14/2025'}]","[{'area_served_name': 'CNG Fueling', 'area_served_type': 'space', 'area_served_id': '2893234'}]"
11949845,47945,EWH-1,291787,Designed,140F design tank temp,722885,Electric Water Heater,560199,Div. 22 - Plumbing,2984447,A121 - JANITOR,,,,,,,,03/27/2026,"[{'system_id': '550894', 'project_id': '47945', 'name': 'Domestic Hot Water', 'description': None, 'building_id': None, 'building': None, 'discipline_id': None, 'discipline': None, 'date_created': '11/14/2025'}]","[{'area_served_name': 'CNG Fueling', 'area_served_type': 'space', 'area_served_id': '2893234'}]"
11949765,47945,FC-2-100,291787,Designed,Dx heat/cool with condensate pump,722882,Fan Coil Unit,560205,Div. 23 - Mechanical,2984398,GB-100 - IDF,,,,,,,,03/27/2026,"[{'system_id': '550893', 'project_id': '47945', 'name': 'HVAC', 'description': None, 'building_id': None, 'building': None, 'discipline_id': None, 'discipline': None, 'date_created': '11/14/2025'}]","[{'area_served_name': 'CNG Fueling', 'area_served_type': 'space', 'area_served_id': '2893234'}]"
11949761,47945,FC-2-104,291787,Designed,Dx heat/cool with condensate pump,722882,Fan Coil Unit,560205,Div. 23 - Mechanical,2984394,GB-104 - IDF,,,,,,,,03/27/2026,"[{'system_id': '550893', 'project_id': '47945', 'name': 'HVAC', 'description': None, 'building_id': None, 'building': None, 'discipline_id': None, 'discipline': None, 'date_created': '11/14/2025'}]","[{'area_served_name': 'CNG Fueling', 'area_served_type': 'space', 'area_served_id': '2893234'}]"
11949762,47945,FC-2-108,291787,Designed,Dx heat/cool with condensate pump,722882,Fan Coil Unit,560205,Div. 23 - Mechanical,2984395,GB-108 - EMERGENCY ELEC ROOM,,,,,,,,03/27/2026,"[{'system_id': '550893', 'project_id': '47945', 'name': 'HVAC', 'description': None, 'building_id': None, 'building': None, 'discipline_id': None, 'discipline': None, 'date_created': '11/14/2025'}]","[{'area_served_name': 'CNG Fueling', 'area_served_type': 'space', 'area_served_id': '2893234'}]"
11949764,47945,FC-2-113,291787,Designed,Dx heat/cool with condensate pump,722882,Fan Coil Unit,560205,Div. 23 - Mechanical,2984397,GB-113 - IDF,,,,,,,,03/27/2026,"[{'system_id': '550893', 'project_id': '47945', 'name': 'HVAC', 'description': None, 'building_id': None, 'building': None, 'discipline_id': None, 'discipline': None, 'date_created': '11/14/2025'}]","[{'area_served_name': 'CNG Fueling', 'area_served_type': 'space', 'area_served_id': '2893234'}]"
11949763,47945,FC-2-117,291787,Designed,Dx heat/cool with condensate pump,722882,Fan Coil Unit,560205,Div. 23 - Mechanical,2984396,GB-117 - IDF,,,,,,,,03/27/2026,"[{'system_id': '550893', 'project_id': '47945', 'name': 'HVAC', 'description': None, 'building_id': None, 'building': None, 'discipline_id': None, 'discipline': None, 'date_created': '11/14/2025'}]","[{'area_served_name': 'CNG Fueling', 'area_served_type': 'space', 'area_served_id': '2893234'}]"
11949766,47945,FC-2-300,291787,Designed,Dx heat/cool with condensate pump,722882,Fan Coil Unit,560205,Div. 23 - Mechanical,2984399,GB-300 - IDF,,,,,,,,03/27/2026,"[{'system_id': '550893', 'project_id': '47945', 'name': 'HVAC', 'description': None, 'building_id': None, 'building': None, 'discipline_id': None, 'discipline': None, 'date_created': '11/14/2025'}]","[{'area_served_name': 'CNG Fueling', 'area_served_type': 'space', 'area_served_id': '2893234'}]"
11949767,47945,FC-2-304,291787,Designed,Dx heat/cool with condensate pump,722882,Fan Coil Unit,560205,Div. 23 - Mechanical,2984400,GB-304 - IDF,,,,,,,,03/27/2026,"[{'system_id': '550893', 'project_id': '47945', 'name': 'HVAC', 'description': None, 'building_id': None, 'building': None, 'discipline_id': None, 'discipline': None, 'date_created': '11/14/2025'}]","[{'area_served_name': 'CNG Fueling', 'area_served_type': 'space', 'area_served_id': '2893234'}]"
11949768,47945,FC-2-310,291787,Designed,Dx heat/cool with condensate pump,722882,Fan Coil Unit,560205,Div. 23 - Mechanical,2984401,GB-310 - IDF,,,,,,,,03/27/2026,"[{'system_id': '550893', 'project_id': '47945', 'name': 'HVAC', 'description': None, 'building_id': None, 'building': None, 'discipline_id': None, 'discipline': None, 'date_created': '11/14/2025'}]","[{'area_served_name': 'CNG Fueling', 'area_served_type': 'space', 'area_served_id': '2893234'}]"
11949770,47945,FC-2-313,291787,Designed,Dx heat/cool with condensate pump,722882,Fan Coil Unit,560205,Div. 23 - Mechanical,2984403,GB-313 - IDF,,,,,,,,03/27/2026,"[{'system_id': '550893', 'project_id': '47945', 'name': 'HVAC', 'description': None, 'building_id': None, 'building': None, 'discipline_id': None, 'discipline': None, 'date_created': '11/14/2025'}]","[{'area_served_name': 'CNG Fueling', 'area_served_type': 'space', 'area_served_id': '2893234'}]"
11949769,47945,FC-2-317,291787,Designed,Dx heat/cool with condensate pump,722882,Fan Coil Unit,560205,Div. 23 - Mechanical,2984402,GB-317 - IDF,,,,,,,,03/27/2026,"[{'system_id': '550893', 'project_id': '47945', 'name': 'HVAC', 'description': None, 'building_id': None, 'building': None, 'discipline_id': None, 'discipline': None, 'date_created': '11/14/2025'}]","[{'area_served_name': 'CNG Fueling', 'area_served_type': 'space', 'area_served_id': '2893234'}]"
11949773,47945,FC-2-500,291787,Designed,Dx heat/cool with condensate pump,722882,Fan Coil Unit,560205,Div. 23 - Mechanical,2984406,GB-500 - IDF,,,,,,,,03/27/2026,"[{'system_id': '550893', 'project_id': '47945', 'name': 'HVAC', 'description': None, 'building_id': None, 'building': None, 'discipline_id': None, 'discipline': None, 'date_created': '11/14/2025'}]","[{'area_served_name': 'CNG Fueling', 'area_served_type': 'space', 'area_served_id': '2893234'}]"
11949774,47945,FC-2-504,291787,Designed,Dx heat/cool with condensate pump,722882,Fan Coil Unit,560205,Div. 23 - Mechanical,2984407,GB-505 - IDF,,,,,,,,03/27/2026,"[{'system_id': '550893', 'project_id': '47945', 'name': 'HVAC', 'description': None, 'building_id': None, 'building': None, 'discipline_id': None, 'discipline': None, 'date_created': '11/14/2025'}]","[{'area_served_name': 'CNG Fueling', 'area_served_type': 'space', 'area_served_id': '2893234'}]"
11949775,47945,FC-2-510,291787,Designed,Dx heat/cool with condensate pump,722882,Fan Coil Unit,560205,Div. 23 - Mechanical,2984408,GB-510 - IDF,,,,,,,,03/27/2026,"[{'system_id': '550893', 'project_id': '47945', 'name': 'HVAC', 'description': None, 'building_id': None, 'building': None, 'discipline_id': None, 'discipline': None, 'date_created': '11/14/2025'}]","[{'area_served_name': 'CNG Fueling', 'area_served_type': 'space', 'area_served_id': '2893234'}]"
11949771,47945,FC-2-513,291787,Designed,Dx heat/cool with condensate pump,722882,Fan Coil Unit,560205,Div. 23 - Mechanical,2984404,GB-513 - IDF,,,,,,,,03/27/2026,"[{'system_id': '550893', 'project_id': '47945', 'name': 'HVAC', 'description': None, 'building_id': None, 'building': None, 'discipline_id': None, 'discipline': None, 'date_created': '11/14/2025'}]","[{'area_served_name': 'CNG Fueling', 'area_served_type': 'space', 'area_served_id': '2893234'}]"
11949772,47945,FC-2-517,291787,Designed,Dx heat/cool with condensate pump,722882,Fan Coil Unit,560205,Div. 23 - Mechanical,2984405,GB-517 - IDF,,,,,,,,03/27/2026,"[{'system_id': '550893', 'project_id': '47945', 'name': 'HVAC', 'description': None, 'building_id': None, 'building': None, 'discipline_id': None, 'discipline': None, 'date_created': '11/14/2025'}]","[{'area_served_name': 'CNG Fueling', 'area_served_type': 'space', 'area_served_id': '2893234'}]"
11949777,47945,FC-3-106,291787,Designed,Dx heat/cool with condensate pump,722882,Fan Coil Unit,560205,Div. 23 - Mechanical,2984410,GB-106 - MAIN ELEC ROOM,,,,,,,,03/27/2026,"[{'system_id': '550893', 'project_id': '47945', 'name': 'HVAC', 'description': None, 'building_id': None, 'building': None, 'discipline_id': None, 'discipline': None, 'date_created': '11/14/2025'}]","[{'area_served_name': 'CNG Fueling', 'area_served_type': 'space', 'area_served_id': '2893234'}]"
11949778,47945,FC-3-107,291787,Designed,Dx heat/cool with condensate pump,722882,Fan Coil Unit,560205,Div. 23 - Mechanical,2984411,GB-107 - ECR,,,,,,,,03/27/2026,"[{'system_id': '550893', 'project_id': '47945', 'name': 'HVAC', 'description': None, 'building_id': None, 'building': None, 'discipline_id': None, 'discipline': None, 'date_created': '11/14/2025'}]","[{'area_served_name': 'CNG Fueling', 'area_served_type': 'space', 'area_served_id': '2893234'}]"
11949776,47945,FC-3-110,291787,Designed,Dx heat/cool with condensate pump,722882,Fan Coil Unit,560205,Div. 23 - Mechanical,2984409,GB-110 - MDF,,,,,,,,03/27/2026,"[{'system_id': '550893', 'project_id': '47945', 'name': 'HVAC', 'description': None, 'building_id': None, 'building': None, 'discipline_id': None, 'discipline': None, 'date_created': '11/14/2025'}]","[{'area_served_name': 'CNG Fueling', 'area_served_type': 'space', 'area_served_id': '2893234'}]"
11949832,47945,FCU-1-1,291787,Designed,"Ducted OSA with damper (MOAD-1-1), MERV-13 filter. Dx heat/cool",793079,VRF Fan Coil Unit,560205,Div. 23 - Mechanical,2984437,A100 - CONTROL ROOM,,,,,,,,03/27/2026,"[{'system_id': '550893', 'project_id': '47945', 'name': 'HVAC', 'description': None, 'building_id': None, 'building': None, 'discipline_id': None, 'discipline': None, 'date_created': '11/14/2025'}]","[{'area_served_name': 'CNG Fueling', 'area_served_type': 'space', 'area_served_id': '2893234'}]"
